weight,walking,speech,weather,sweat,hunger,skin type,hair type,lips,teeth,eyes,memory,thinking,action efficiency,sleep,skin color,nails,bodytype
average,slow,slow,cold,excessive,irregular appetite,cool,oily thick,dark dry,large,bright,never forgets,focused,quickly but inconsistently,deep,dark,soft red,kapha
average,slow,fast,cold,excessive with strong odor,moderate hunger,oily,oily thick,dark up red bottom,large,bright,never forgets,peacefull,promptly and decisively,deep,dark,dull,kapha
difficult to lose,fast,moderate,all,excessive with strong odor,moderate hunger,cool,oily thick,red,uneven,bright,forgets quickly,peacefull,slowly but steadily,sound,pale,pale,kapha
difficult to lose,moderate,moderate,all,mild,always hunger,cool,oily thick,red,perfect,bright,forgets quickly,peaceful,promptly and decisively,sound,pale,pale,kapha
average,slow,moderate,cold,excessive with strong odor,moderate hunger,cool,oily thick,dark dry,large,bright,never forgets,focused,quickly but inconsistently,light,redish,dull,kapha
lean,fast,slow,warm,excessive,irregular appetite,oily,oily thick,dark up red bottom,perfect,bright,never forgets,peacefull,slowly but steadily,deep,redish,pale,kapha
average,moderate,moderate,warm,excessive,moderate hunger,oily,dry brittle,red,perfect,bright,never forgets,quick,slowly but steadily,light,pale,pale,kapha
difficult to lose,fast,slow,cold,excessive,moderate hunger,cool,straight soft,red,perfect,red,forgets quickly,focused,quickly but inconsistently,deep,pale,pale,kapha
average,moderate,slow,warm,excessive,always hunger,cool,dry brittle,red,perfect,red,never forgets,focused,slowly but steadily,light,pale,pale,kapha
lean,moderate,slow,all,excessive with strong odor,moderate hunger,dry,dry brittle,dark dry,perfect,bright,forgets quickly,focused,quickly but inconsistently,sound,pale,soft red,kapha
difficult to lose,slow,slow,warm,excessive with strong odor,irregular appetite,cool,dry brittle,dark dry,perfect,bright,never forgets,peaceful,quickly but inconsistently,sound,dark,dull,kapha
average,slow,slow,warm,excessive with strong odor,always hunger,cool,oily thick,red,large,dark,average,peacefull,quickly but inconsistently,deep,redish,pale,kapha
average,moderate,fast,all,excessive with strong odor,moderate hunger,dry,dry brittle,dark dry,uneven,red,never forgets,peacefull,quickly but inconsistently,sound,pale,pale,kapha
average,slow,slow,cold,mild,irregular appetite,oily,oily thick,red,perfect,red,forgets quickly,quick,slowly but steadily,light,pale,dull,kapha
lean,slow,slow,all,excessive with strong odor,irregular appetite,oily,straight soft,dark dry,uneven,dark,forgets quickly,focused,slowly but steadily,deep,dark,pale,kapha
difficult to lose,slow,moderate,all,mild,irregular appetite,cool,oily thick,dark dry,uneven,bright,never forgets,focused,slowly but steadily,sound,dark,pale,kapha
difficult to lose,slow,slow,cold,excessive with strong odor,moderate hunger,oily,straight soft,dark up red bottom,perfect,red,never forgets,peacefull,slowly but steadily,light,dark,pale,kapha
difficult to lose,fast,slow,all,excessive,moderate hunger,oily,straight soft,dark dry,perfect,dark,average,quick,promptly and decisively,sound,pale,pale,kapha
average,fast,slow,warm,excessive,irregular appetite,dry,oily thick,dark dry,uneven,red,never forgets,peacefull,slowly but steadily,sound,pale,pale,kapha
difficult to lose,moderate,slow,all,excessive,irregular appetite,dry,dry brittle,dark up red bottom,uneven,bright,average,focused,slowly but steadily,light,pale,pale,kapha
average,fast,fast,cold,excessive,moderate hunger,dry,oily thick,red,uneven,bright,forgets quickly,peaceful,promptly and decisively,light,pale,pale,kapha
average,fast,slow,all,excessive,irregular appetite,dry,oily thick,red,large,red,never forgets,quick,slowly but steadily,deep,redish,soft red,kapha
average,moderate,slow,warm,mild,irregular appetite,cool,oily thick,dark up red bottom,uneven,bright,average,peacefull,slowly but steadily,sound,dark,pale,kapha
lean,fast,slow,cold,excessive with strong odor,moderate hunger,oily,straight soft,red,perfect,bright,forgets quickly,peaceful,slowly but steadily,deep,pale,pale,kapha
difficult to lose,slow,slow,all,excessive with strong odor,always hunger,oily,straight soft,dark up red bottom,perfect,dark,never forgets,quick,quickly but inconsistently,deep,pale,pale,kapha
lean,moderate,slow,all,excessive with strong odor,moderate hunger,cool,dry brittle,red,large,bright,never forgets,focused,slowly but steadily,deep,pale,soft red,kapha
average,fast,slow,all,mild,moderate hunger,cool,straight soft,dark up red bottom,uneven,red,never forgets,peaceful,quickly but inconsistently,sound,pale,dull,kapha
lean,slow,slow,cold,mild,moderate hunger,cool,straight soft,dark dry,large,bright,never forgets,focused,slowly but steadily,deep,redish,soft red,kapha
difficult to lose,moderate,moderate,warm,excessive,irregular appetite,cool,dry brittle,red,perfect,bright,average,quick,slowly but steadily,light,pale,pale,kapha
difficult to lose,fast,moderate,warm,excessive,moderate hunger,dry,straight soft,red,perfect,bright,never forgets,peaceful,promptly and decisively,light,dark,pale,kapha
lean,slow,slow,warm,excessive,moderate hunger,cool,dry brittle,dark up red bottom,perfect,red,never forgets,peacefull,quickly but inconsistently,deep,pale,soft red,kapha
average,moderate,slow,warm,excessive with strong odor,irregular appetite,dry,oily thick,dark dry,perfect,dark,never forgets,peacefull,slowly but steadily,deep,redish,dull,kapha
lean,slow,moderate,cold,excessive with strong odor,irregular appetite,dry,straight soft,red,uneven,bright,never forgets,peacefull,promptly and decisively,light,redish,pale,kapha
difficult to lose,fast,fast,cold,excessive,irregular appetite,oily,straight soft,red,perfect,bright,never forgets,peacefull,promptly and decisively,light,dark,pale,kapha
difficult to lose,moderate,moderate,cold,excessive,always hunger,oily,oily thick,red,perfect,dark,never forgets,peaceful,slowly but steadily,light,pale,pale,kapha
average,moderate,slow,cold,excessive,moderate hunger,dry,straight soft,red,perfect,bright,average,peacefull,slowly but steadily,light,pale,dull,kapha
difficult to lose,moderate,slow,cold,excessive with strong odor,irregular appetite,cool,straight soft,red,uneven,bright,never forgets,focused,quickly but inconsistently,light,dark,dull,kapha
difficult to lose,fast,fast,warm,mild,irregular appetite,cool,oily thick,red,uneven,bright,never forgets,quick,promptly and decisively,deep,pale,pale,kapha
difficult to lose,fast,slow,cold,mild,irregular appetite,cool,oily thick,dark dry,perfect,red,never forgets,focused,slowly but steadily,deep,dark,dull,kapha
lean,slow,moderate,all,mild,moderate hunger,dry,oily thick,red,perfect,dark,never forgets,focused,slowly but steadily,sound,dark,pale,kapha
average,slow,slow,cold,mild,always hunger,oily,dry brittle,dark dry,perfect,dark,forgets quickly,peaceful,slowly but steadily,deep,pale,soft red,kapha
difficult to lose,slow,fast,cold,mild,irregular appetite,oily,oily thick,red,perfect,bright,forgets quickly,focused,quickly but inconsistently,light,pale,pale,kapha
difficult to lose,moderate,slow,all,excessive with strong odor,moderate hunger,oily,dry brittle,dark up red bottom,perfect,dark,never forgets,peacefull,promptly and decisively,sound,dark,pale,kapha
difficult to lose,slow,slow,all,excessive with strong odor,always hunger,cool,oily thick,dark up red bottom,perfect,red,average,focused,slowly but steadily,deep,redish,dull,kapha
difficult to lose,moderate,slow,all,excessive,irregular appetite,oily,dry brittle,red,uneven,bright,never forgets,focused,promptly and decisively,light,dark,pale,kapha
average,slow,slow,cold,excessive with strong odor,always hunger,dry,dry brittle,red,perfect,dark,forgets quickly,peaceful,quickly but inconsistently,light,pale,pale,kapha
difficult to lose,fast,slow,cold,mild,moderate hunger,oily,straight soft,dark up red bottom,uneven,bright,never forgets,quick,slowly but steadily,light,dark,pale,kapha
average,slow,slow,cold,excessive with strong odor,irregular appetite,cool,dry brittle,red,perfect,red,never forgets,peacefull,quickly but inconsistently,sound,pale,pale,kapha
difficult to lose,moderate,fast,all,excessive with strong odor,moderate hunger,oily,dry brittle,dark dry,large,bright,never forgets,focused,quickly but inconsistently,sound,pale,soft red,kapha
lean,slow,fast,warm,excessive with strong odor,moderate hunger,oily,oily thick,red,uneven,red,average,focused,slowly but steadily,light,pale,pale,kapha
difficult to lose,fast,slow,all,excessive with strong odor,irregular appetite,dry,oily thick,dark dry,perfect,red,forgets quickly,peaceful,promptly and decisively,light,redish,pale,kapha
difficult to lose,slow,moderate,all,mild,always hunger,dry,oily thick,red,perfect,bright,forgets quickly,focused,slowly but steadily,sound,pale,dull,kapha
lean,slow,slow,cold,mild,irregular appetite,oily,dry brittle,red,uneven,bright,never forgets,peaceful,slowly but steadily,sound,dark,soft red,kapha
difficult to lose,fast,slow,warm,excessive with strong odor,always hunger,oily,straight soft,dark up red bottom,perfect,bright,average,focused,slowly but steadily,deep,pale,dull,kapha
average,slow,moderate,warm,mild,irregular appetite,dry,oily thick,red,uneven,bright,never forgets,focused,quickly but inconsistently,deep,dark,pale,kapha
lean,fast,slow,cold,excessive with strong odor,moderate hunger,dry,oily thick,dark dry,large,bright,never forgets,focused,slowly but steadily,sound,pale,soft red,kapha
average,fast,fast,all,excessive with strong odor,moderate hunger,cool,dry brittle,dark up red bottom,uneven,dark,never forgets,focused,slowly but steadily,sound,pale,pale,kapha
difficult to lose,moderate,fast,cold,excessive,moderate hunger,cool,oily thick,red,perfect,dark,forgets quickly,peacefull,quickly but inconsistently,light,pale,pale,kapha
lean,slow,fast,all,excessive with strong odor,irregular appetite,cool,straight soft,red,perfect,dark,average,quick,slowly but steadily,deep,dark,pale,kapha
lean,slow,slow,all,excessive with strong odor,always hunger,dry,dry brittle,red,large,bright,forgets quickly,peaceful,slowly but steadily,sound,dark,soft red,kapha
average,slow,fast,warm,mild,moderate hunger,cool,straight soft,dark up red bottom,large,bright,average,focused,slowly but steadily,sound,pale,pale,kapha
difficult to lose,fast,slow,warm,excessive,moderate hunger,cool,oily thick,dark up red bottom,perfect,bright,never forgets,focused,promptly and decisively,light,pale,soft red,kapha
average,slow,slow,cold,mild,always hunger,cool,straight soft,red,perfect,dark,never forgets,quick,slowly but steadily,deep,redish,soft red,kapha
average,moderate,slow,warm,excessive with strong odor,always hunger,oily,straight soft,red,perfect,bright,forgets quickly,peacefull,quickly but inconsistently,sound,pale,pale,kapha
average,fast,slow,cold,excessive,always hunger,cool,oily thick,red,perfect,dark,forgets quickly,quick,slowly but steadily,deep,pale,soft red,kapha
lean,slow,fast,warm,mild,always hunger,oily,oily thick,dark up red bottom,perfect,bright,forgets quickly,peacefull,slowly but steadily,sound,pale,soft red,kapha
